Year,Month,Day,Estimated DGSR
1991,12,22,26.48064583
1991,12,23,33.69917085
1991,12,24,33.53417945
1991,12,25,34.75077446
1991,12,26,33.63347588
1991,12,27,34.63823841
1991,12,28,34.70803322
1991,12,29,34.5296357
1991,12,30,34.91685805
1991,12,31,33.2271449
1992,1,1,30.11928625
1992,1,2,25.98430476
1992,1,3,31.96228673
1992,1,4,28.73443594
1992,1,5,28.31791527
1992,1,6,24.41068461
1992,1,7,28.89828094
1992,1,8,27.27205926
1992,1,9,29.81595424
1992,1,10,31.65676612
1992,1,11,16.42185073
1992,1,12,21.80746276
1992,1,13,20.11250588
1992,1,14,28.06588241
1992,1,15,30.6211086
1992,1,16,29.50628943
1992,1,17,27.21522755
1992,1,18,25.04763045
1992,1,19,13.84167956
1992,1,20,22.93171887
1992,1,21,11.65342223
1992,1,22,20.01818823
1992,1,23,22.22340395
1992,1,24,17.08202473
1992,1,25,22.46679012
1992,1,26,10.99853091
1992,1,27,25.59031852
1992,1,28,16.09578544
1992,1,29,15.03981661
1992,1,30,14.64105457
1992,1,31,21.52310498
1992,2,1,21.58710802
1992,2,2,9.338803784
1992,2,3,10.01367111
1992,2,4,21.20028438
1992,2,5,24.26888844
1992,2,6,13.56429078
1992,2,7,24.14325508
1992,2,8,25.04150362
1992,2,9,23.92884694
1992,2,10,20.9857949
1992,2,11,10.19138665
1992,2,12,12.62569039
1992,2,13,21.08551965
1992,2,14,4.798873522
1992,2,15,3.801014151
1992,2,16,4.157856899
1992,2,17,13.86850197
1992,2,18,19.43579185
1992,2,19,16.90301729
1992,2,20,8.19524257
1992,2,21,10.45127901
1992,2,22,17.08188088
1992,2,23,18.42378928
1992,2,24,15.72495964
1992,2,25,18.6620991
1992,2,26,11.56519342
1992,2,27,6.290499943
1992,2,28,15.88191522
1992,2,29,14.17056018
1992,3,1,5.126802221
1992,3,2,13.49018976
1992,3,3,13.76873573
1992,3,4,13.63852992
1992,3,5,14.98586618
1992,3,6,14.30268958
1992,3,7,4.540177337
1992,3,8,3.718271919
1992,3,9,3.477731809
1992,3,10,4.932841028
1992,3,11,10.71609778
1992,3,12,9.123198075
1992,3,13,10.31254028
1992,3,14,4.371148081
1992,3,15,2.679141581
1992,3,16,1.790814747
1992,3,17,1.904296158
1992,3,18,9.747360294
1992,3,19,9.630350408
1992,3,20,9.0692771
1992,3,21,11.31605987
1992,3,22,2.88171398
1992,3,23,1.151702789
1992,3,24,8.306176515
1992,3,25,3.591584743
1992,3,26,4.860676822
1992,3,27,5.687120093
1992,3,28,2.404404228
1992,3,29,4.252987975
1992,3,30,6.739956984
1992,3,31,7.107716889
1992,4,1,6.624833492
1992,4,2,6.211854857
1992,4,3,3.909709862
1992,4,4,3.698838938
1992,4,5,4.176364424
1992,4,6,2.267206653
1992,4,7,4.426614328
1992,4,8,5.819471852
1992,4,9,4.185172847
1992,4,10,2.585885445
1992,4,11,1.723892341
1992,4,12,1.838690164
1992,4,13,2.609167842
1992,4,14,1.899298191
1992,4,15,1.373800281
1992,4,16,2.474435267
1992,4,17,1.302178313
1992,4,18,1.657800931
1992,4,19,1.183846483
1992,4,20,1.248344403
1992,4,21,0.951758435
1992,4,22,0.918596284
1992,4,23,1.156028838
1992,4,24,1.140749512
1992,4,25,0.956144604
1992,4,26,0.905335485
1992,4,27,0.860736103
1992,4,28,0.564654127
1992,4,29,0.593691843
1992,4,30,0.730649403
1992,5,1,0.74537702
1992,5,2,0.566670464
1992,5,3,0.554215388
1992,5,4,0.517908502
1992,5,5,0.378818458
1992,5,6,0.363302863
1992,5,7,0.586529489
1992,5,8,0.252884244
1992,5,9,0.598279542
1992,5,10,0.134840636
1992,5,11,-0.067208853
1992,5,12,0.252847426
1992,5,13,0.058403803
1992,5,14,0.186435913
1992,5,15,0.196427511
1992,5,16,0.132093904
1992,5,17,0.084935137
1992,5,18,0.043797679
1992,5,19,0.080655434
1992,5,20,0.056866531
1992,5,21,-0.165541361
1992,5,22,0.085433041
1992,5,23,0.059970639
1992,5,24,0.102893471
1992,5,25,0.078941427
1992,5,26,0.082551134
1992,7,18,-0.026600335
1992,7,19,-0.231934034
1992,7,20,0.043385513
1992,7,21,-0.002908499
1992,7,22,0.054434111
1992,7,23,0.119366755
1992,7,24,0.006723672
1992,7,25,0.156711824
1992,7,26,0.097057591
1992,7,27,0.130358468
1992,7,28,0.179836486
1992,7,29,0.134460469
1992,7,30,0.117972517
1992,7,31,0.10422047
1992,8,1,0.572669
1992,8,2,0.349269067
1992,8,3,0.318827243
1992,8,4,0.440312744
1992,8,5,0.329659399
1992,8,6,0.380795619
1992,8,7,0.402759229
1992,8,8,0.335802477
1992,8,9,0.575355049
1992,8,10,0.536049673
1992,8,11,0.747527117
1992,8,12,0.607306182
1992,8,13,0.573156031
1992,8,14,0.991142197
1992,8,15,0.933140986
1992,8,16,1.069910134
1992,8,17,1.260329991
1992,8,18,1.080198066
1992,8,19,1.157818355
1992,8,20,1.270420204
1992,8,21,1.348241482
1992,8,22,1.351301296
1992,8,23,2.182583169
1992,8,24,1.251243891
1992,8,25,1.622381551
1992,8,26,1.593890166
1992,8,27,1.377239882
